epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,27599,0.67716,0.91316,0.43271,0.86824,0,0.96923,0.94194,0.96998,0.7921,0.95565,0.92866,0.956,0.77254,0.6291,0.99881,0.44212,0.86114,0,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388
49,28187,0.66807,0.88831,0.429,0.86837,0,0.96373,0.95427,0.96841,0.79673,0.97053,0.93198,0.96713,0.76762,0.63068,1.03105,0.42132,0.86647,0,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992
50,28754.1,0.6691,0.89809,0.42683,0.86979,0,0.96264,0.94611,0.96458,0.78948,0.95054,0.93421,0.95676,0.76089,0.63955,1.03677,0.43026,0.86296,0,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596
51,29278.8,0.67203,0.89377,0.42558,0.87,0,0.97013,0.95026,0.97656,0.79599,0.9658,0.94605,0.97238,0.76555,0.62454,1.01637,0.42786,0.87217,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
52,29799.2,0.66838,0.90409,0.42615,0.86808,0,0.96158,0.95729,0.96973,0.79426,0.96227,0.94592,0.95902,0.76761,0.62249,0.98915,0.42954,0.85964,0,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804
53,30316.7,0.66024,0.8957,0.42208,0.86273,0,0.96126,0.94857,0.96626,0.79185,0.96248,0.94889,0.96896,0.77303,0.63916,1.02919,0.42308,0.86384,0,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408
54,30839.4,0.66067,0.87967,0.42129,0.86604,0,0.97524,0.94383,0.96739,0.79571,0.97089,0.95225,0.96707,0.77712,0.61353,0.97675,0.41544,0.86312,0,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012
55,31374.1,0.66339,0.89156,0.42117,0.86451,0,0.96166,0.95745,0.97023,0.80793,0.95078,0.94678,0.96701,0.76814,0.61177,1.00662,0.40784,0.86185,0,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616
56,31898.1,0.65599,0.8851,0.41957,0.86347,0,0.98051,0.95623,0.97268,0.79593,0.97736,0.95327,0.97026,0.77248,0.64279,1.03682,0.41998,0.87,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
57,32422.7,0.65861,0.89072,0.41918,0.86406,0,0.96764,0.94651,0.97405,0.80076,0.96764,0.94651,0.97444,0.77722,0.60703,0.99179,0.39168,0.857,0,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824
